,importance
11751271_a_at,0.003441582994417329
11719716_a_at,0.0034399683708039746
11731114_a_at,0.0034395195696299507
11729910_at,0.0034050897249265333
11737890_x_at,0.003401617880283425
11722642_a_at,0.0033794984656257644
11738559_a_at,0.0033688348478820122
11754073_x_at,0.0033198991394497433
11740559_a_at,0.003311579314792242
11741190_a_at,0.003306034943708254
11720068_a_at,0.003301771382405367
11760084_x_at,0.003290102883283896
11728825_at,0.003273963673319286
11742017_a_at,0.0032739257020072236
11719533_a_at,0.0032537801398428005
11717373_at,0.00323636450273307
11756516_a_at,0.0032308201815092544
11724606_a_at,0.003220233979810438
11737984_at,0.0031868943381036462
11736881_a_at,0.0031819116978186136
11743614_a_at,0.0031689315344016846
11731913_at,0.0031337960951318016
11737842_x_at,0.003116553967366068
11731134_a_at,0.0031128061585847366
11753088_a_at,0.003098157630326183
11718846_a_at,0.003082899412288698
11751532_x_at,0.003070998083514246
11731661_s_at,0.0030671393309323735
11744076_a_at,0.003062929930720105
11742117_a_at,0.003060120453202608
11733768_x_at,0.003041671034236193
11737809_at,0.003038450565566779
11717436_a_at,0.0030153515411507873
11738541_x_at,0.0030145290364088024
11718185_a_at,0.0029853261046530323
11750879_a_at,0.0029835618301112354
11743010_at,0.002965650490496223
11725239_a_at,0.0029538726156997748
11747038_a_at,0.0029377220596398116
11739084_at,0.002935403406113654
11718323_at,0.002913713631424848
11750997_a_at,0.002889325397598602
11739552_a_at,0.002831481294938651
11739809_at,0.00281921390091547
11738198_at,0.0028003622579276174
11759816_x_at,0.0027240661606493634
11752515_a_at,0.0027133331070500013
11747155_s_at,0.002687662974259293
11747444_s_at,0.0025526653658052467
PTGENDER,0.0005399080546923268
