,importance
APOE4,0.024229765908026876
11738921_at,0.011441288116845739
11733082_a_at,0.010973498566744871
11730765_at,0.010123933450239193
11717994_a_at,0.010088603348388975
DX,0.0100173886993517
11746877_a_at,0.009676461149267703
11740108_a_at,0.008956586107271482
11726347_x_at,0.00878334192148166
11731375_a_at,0.008766829317471714
11747156_x_at,0.008488894408932728
11752154_x_at,0.008394331120709933
11732751_a_at,0.008315283447657832
11742487_a_at,0.007862854038504685
11742220_x_at,0.007860777681268643
11746251_x_at,0.00784758241975952
11756334_x_at,0.00767290904568395
11718408_x_at,0.0074880477986682655
11719922_a_at,0.007173243644154485
11742204_a_at,0.007130079003135517
11740560_x_at,0.007111919542551514
11723009_at,0.006904038496810598
11744282_at,0.006876684142239407
11719341_s_at,0.006769384718465612
11726346_a_at,0.006760765913925522
11745264_a_at,0.006753529868540888
11744832_x_at,0.006744579008279755
11722971_a_at,0.006737542136194897
11759135_x_at,0.0066879210822882885
11722009_a_at,0.006640512490482389
11753885_a_at,0.00662220986535976
11726290_a_at,0.006617267605641843
11727963_x_at,0.006556168539407578
11725888_at,0.0065514415337150095
11730580_s_at,0.006522174376795811
11723206_at,0.006386862820399722
11719828_x_at,0.006277992490357413
11739565_a_at,0.006273902054036768
11719767_a_at,0.006228406112166503
11750247_x_at,0.006191236415689308
11716941_at,0.006189597687316395
11757474_x_at,0.006132496715002373
11744260_a_at,0.006093607621689476
11741765_a_at,0.006069280611351225
11746889_a_at,0.0060643903278187455
11730513_a_at,0.006028386622840057
11722970_a_at,0.0059937306817652355
11749617_a_at,0.005929247890267895
11725789_at,0.0059088955927852765
11744292_at,0.005881529980936601
11754072_a_at,0.005870645451233146
11745144_a_at,0.005761057590973469
11761837_at,0.00574648749164734
11736880_x_at,0.005729926162087235
11751989_a_at,0.005696169522599025
11762439_at,0.005681432004206476
11728530_a_at,0.005667908411480827
11759815_a_at,0.0056548184687249484
11735170_at,0.00561554250155777
11761745_at,0.005551688505522759
11729853_at,0.005484697587660609
11740804_a_at,0.0054825119282013585
11751880_x_at,0.0054551176328658715
11719917_at,0.005419863600707753
11738618_a_at,0.005402044285974459
11745018_a_at,0.005390977831934961
11757417_x_at,0.005386734035973587
11731952_s_at,0.005355623065649563
11718760_a_at,0.005338947189156495
11723445_a_at,0.005336306492357919
11741153_a_at,0.005286178370035724
11726728_a_at,0.005258260323413403
11748344_x_at,0.005222504143208342
AGE,0.005218859950400787
11746324_a_at,0.005127687590726401
11756374_a_at,0.005113999014451924
11726583_s_at,0.005112051947845354
11749758_s_at,0.005101779300314248
11731422_s_at,0.005068205604217892
11740777_a_at,0.005065827851163116
